pl_name,hostname,tran_flag,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_teff,st_rad,pl_dens
KELT-16 b,KELT-16,1.0,1.415,0.084,-0.067,0.9689951,2.4e-06,-2.4e-06,2453.0,55.0,-47.0,6992.0328,,,2.75,0.16,-0.15,1.211,0.043,-0.046,-0.002,0.086,-0.085,6236.0,1.36,1.2
KELT-17 b,KELT-17,1.0,1.525,0.065,-0.06,3.0801716,5.3e-06,-5.2e-06,2087.0,32.0,-33.0,3331.8707,,,1.31,0.28,-0.29,1.635,0.066,-0.061,-0.018,0.074,-0.072,7454.0,1.645,0.46
KELT-18 b,KELT-18,1.0,1.57,0.042,-0.036,2.8717518,2.8e-06,-2.8e-06,2085.0,39.0,-38.0,3152.0,242.0,-220.0,1.18,0.11,-0.11,1.524,0.069,-0.068,0.09,0.13,-0.13,6670.0,1.908,0.377
KELT-19 A b,KELT-19 A,1.0,1.91,0.11,-0.11,4.6117093,8.8e-06,-8.8e-06,1935.0,38.0,-38.0,2340.0,184.0,-184.0,4.07,,,1.62,0.25,-0.2,-0.12,0.51,-0.51,7500.0,1.83,0.744
KELT-2 A b,KELT-2 A,1.0,1.35,0.08,-0.08,4.11379,1e-05,-1e-05,2080.0,,,3108.45,,,1.7,0.22,-0.22,1.54,0.28,-0.28,0.0,,,6327.0,1.93,0.91
KELT-20 b,KELT-20,1.0,1.741,0.069,-0.074,3.4741085,1.9e-06,-1.9e-06,2262.0,73.0,-73.0,4362.5,595.2,-536.4,3.382,,,1.76,0.14,-0.19,-0.29,0.22,-0.36,8720.0,1.565,0.806
KELT-21 b,KELT-21,1.0,1.586,0.039,-0.04,3.6127647,3.3e-06,-3.3e-06,2051.0,29.0,-30.0,2950.0,169.0,-169.0,3.91,,,1.458,0.029,-0.028,-0.405,0.032,-0.033,7598.0,1.638,1.24
KELT-23 A b,KELT-23 A,1.0,1.323,0.025,-0.025,2.255251,1.1e-05,-1.2e-05,1561.0,20.0,-20.0,991.183,51.433,-49.229,0.938,0.048,-0.044,0.944,0.06,-0.054,-0.105,0.078,-0.077,5899.0,0.996,0.503
KELT-24 b,KELT-24,1.0,1.134,0.027,-0.026,5.55149296,5e-07,-5.3e-07,1391.0,22.0,-23.0,624.0,40.0,-40.0,4.59,0.18,-0.18,1.268,0.063,-0.063,0.138,0.086,-0.082,6426.0,1.338,3.9
KELT-4 A b,KELT-4 A,1.0,1.699,0.046,-0.045,2.9895932,4.9e-06,-4.9e-06,1823.0,27.0,-27.0,1840.0,110.0,-110.0,0.902,0.06,-0.059,1.201,0.067,-0.061,-0.116,0.065,-0.069,6206.0,1.603,0.228
KELT-6 b,KELT-6,1.0,1.3,0.09,-0.09,7.8457,0.0002,-0.0002,1313.0,59.0,-38.0,718.188,,,0.52,0.12,-0.12,1.42,0.46,-0.46,-0.28,,,6102.0,1.73,0.27
KELT-7 b,KELT-7,1.0,1.6,0.06,-0.06,2.73477,4e-06,-4e-06,2048.0,27.0,-27.0,1775.39,,,1.39,0.22,-0.22,1.76,0.25,-0.25,0.0,,,6768.0,1.81,0.442
KELT-8 b,KELT-8,1.0,1.62,0.1,-0.1,3.24406,0.00016,-0.00016,1675.0,61.0,-55.0,983.3098,,,0.66,0.12,-0.12,0.81,0.21,-0.21,0.27,,,5754.0,1.46,0.167
KELT-9 b,KELT-9,1.0,1.891,0.061,-0.053,1.4811235,1.1e-06,-1.1e-06,4050.0,180.0,-180.0,44900.0,8100.0,-7200.0,2.88,0.84,-0.84,2.52,0.25,-0.2,-0.03,0.2,-0.2,10170.0,2.362,0.53
KOI-13 b,KOI-13,1.0,1.512,0.035,-0.035,1.763588,1e-06,-1e-06,2550.0,80.0,-80.0,25339.901,3035.304,-2595.939,9.28,0.16,-0.16,1.72,0.1,-0.1,0.2,0.2,-0.2,7650.0,1.74,3.6
KOI-4777.01,KOI-4777,1.0,0.04549923,0.00267643,-0.00267643,0.412,1e-06,-1e-06,1180.0,20.0,-20.0,320.0,20.0,-20.0,0.3121181,,,0.41,0.02,-0.02,0.1,0.1,-0.1,3515.0,0.4,
KPS-1 b,KPS-1,1.0,1.03,0.13,-0.12,1.706291,5.9e-05,-5.9e-05,1459.0,56.0,-56.0,729.0,130.0,-110.0,1.09,0.086,-0.087,0.892,0.09,-0.1,0.22,0.13,-0.13,5165.0,0.907,1.31
Kepler-12 b,Kepler-12,1.0,1.754,0.031,-0.036,4.4379629,6e-07,-6e-07,1480.0,30.0,-30.0,877.539,27.195,-26.259,0.432,0.053,-0.051,1.166,0.051,-0.054,0.07,0.04,-0.04,5947.0,1.483,0.11
Kepler-14 b,Kepler-14,1.0,1.136,0.073,-0.054,6.790123,4.3e-06,-4.3e-06,1605.0,39.0,-39.0,1029.51,123.31,-112.71,8.4,0.35,-0.34,1.512,0.043,-0.043,0.12,0.06,-0.06,6395.0,2.048,7.1
Kepler-15 b,Kepler-15,1.0,0.96,0.06,-0.07,4.942782,1.3e-06,-1.3e-06,1251.0,27.0,-27.0,430.677,17.375,-16.681,0.66,0.08,-0.09,1.018,0.044,-0.052,0.36,0.07,-0.07,5515.0,0.992,0.93
Kepler-17 b,Kepler-17,1.0,1.31,0.02,-0.02,1.4857108,2e-07,-2e-07,1570.0,200.0,-200.0,1481.766,54.343,-52.415,2.45,0.11,-0.11,1.04,,,0.26,0.1,-0.1,5781.0,1.01034,1.35
Kepler-176 b,Kepler-176,1.0,0.128,0.065,-0.065,5.433074,2.4e-05,-2.4e-05,841.0,,,123.802,4.001,-3.853,0.91413163,,,0.86,0.016,-0.024,0.13,0.04,-0.04,5232.0,0.891,179.0
Kepler-203 c,Kepler-203,1.0,0.22,0.042,-0.042,5.370647,8e-06,-8e-06,1096.0,,,329.788,12.287,-11.812,2.36,1.319,-1.085,1.06,0.022,-0.036,0.08,0.04,-0.04,5821.0,1.114,273.0
Kepler-238 b,Kepler-238,1.0,0.154,0.036,-0.036,2.090876,2e-05,-2e-05,1642.0,,,2500.588,231.349,-207.679,10.39875583,,,1.229,0.035,-0.062,0.34,0.04,-0.04,5751.0,1.43,526.0
Kepler-238 c,Kepler-238,1.0,0.213,0.04,-0.04,6.155557,5e-05,-5e-05,1146.0,,,592.298,54.798,-49.192,0.47988788,,,1.229,0.035,-0.062,0.34,0.04,-0.04,5751.0,1.43,3.2
Kepler-24 d,Kepler-24,1.0,0.149,0.035,-0.035,4.244384,5.3e-05,-5.3e-05,1305.0,,,601.895,40.744,-37.687,0.92489845,,,1.046,0.035,-0.034,-0.0708,0.0137,-0.0137,5897.0,1.289,152.0
Kepler-240 c,Kepler-240,1.0,0.196,0.079,-0.079,7.953528,2.5e-05,-2.5e-05,696.0,,,59.838,3.745,-3.494,0.322,0.136,-0.124,0.868,0.017,-0.019,0.41,0.04,-0.04,4985.0,0.739,52.8
Kepler-245 b,Kepler-245,1.0,0.229,0.016,-0.016,7.49019,1.9e-05,-1.9e-05,753.0,,,77.749,6.15,-5.642,0.46182153,,,0.856,0.02,-0.026,0.12,0.04,-0.04,5100.0,0.795,0.12
Kepler-245 e,Kepler-245,1.0,0.15612454,0.00713712,-0.00535284,3.219821056,4.735e-06,-4.735e-06,998.0,,,240.151,18.996,-17.428,5.68344415,,,0.86,0.03,-0.032,0.05,0.106,-0.098,5174.0,0.8,902.0
Kepler-272 c,Kepler-272,1.0,0.16,0.086,-0.086,6.057342,3.7e-05,-3.7e-05,947.0,,,310.76,12.701,-12.161,0.308,0.175,-0.107,0.91,0.014,-0.011,0.04,0.04,-0.04,5297.0,0.929,93.7
Kepler-317 b,Kepler-317,1.0,0.186,0.086,-0.086,5.524242,2.7e-05,-2.7e-05,976.0,,,151.652,10.962,-10.183,0.345,0.357,-0.302,0.865,0.064,-0.032,0.13,0.152,-0.144,5497.0,0.941,66.1
Kepler-32 b,Kepler-32,1.0,0.196,0.018,-0.018,5.90124,0.0001,-0.0001,514.0,,,22.025,2.26,-2.082,4.1,,,0.58,0.05,-0.05,0.0,0.4,-0.4,3900.0,0.53,0.46
Kepler-32 c,Kepler-32,1.0,0.178,0.018,-0.018,8.7522,0.0003,-0.0003,451.0,,,10.68,1.16,-0.61,0.5,,,0.58,0.05,-0.05,0.0,0.4,-0.4,3900.0,0.53,0.33
Kepler-32 f,Kepler-32,1.0,0.0731555,0.00624498,-0.00624498,0.74296,7e-05,-7e-05,1026.0,,,349.645,35.879,-33.046,3.04953232,,,0.58,0.05,-0.05,0.0,0.4,-0.4,3900.0,0.53,1.5
Kepler-324 b,Kepler-324,1.0,0.102,0.01,-0.01,4.385315,2.5e-05,-2.5e-05,935.0,,,194.34,5.325,-5.202,7.59655193,,,0.901,0.017,-0.027,0.18,0.04,-0.04,5194.0,0.84,3.0
Kepler-391 b,Kepler-391,1.0,0.22303545,0.02587211,-0.02587211,7.4175,0.0027,-0.0037,930.0,37.0,-140.0,690.0,390.0,-410.0,3.46098705,,,1.27,0.081,-0.081,0.04,0.02,-0.02,5038.0,2.879,380.0
Kepler-40 b,Kepler-40,1.0,1.17,0.04,-0.04,6.87349,0.00064,-0.00064,1620.0,30.0,-30.0,1187.965,139.556,-120.65,2.2,0.4,-0.4,1.48,0.06,-0.06,0.1,0.15,-0.1,6510.0,2.13,1.68
Kepler-41 b,Kepler-41,1.0,1.29,0.02,-0.02,1.8555582,5.2e-07,-5.2e-07,1790.0,31.0,-31.0,2036.749,117.262,-109.892,0.56,0.08,-0.08,1.15,0.04,-0.04,0.38,0.11,-0.11,5750.0,1.29,0.33
Kepler-412 b,Kepler-412,1.0,1.341,0.044,-0.046,1.7208604,3e-07,-3e-07,1850.0,30.0,-30.0,2144.307,98.659,-94.03,0.941,0.125,-0.019,1.167,0.091,-0.091,0.27,0.12,-0.12,5750.0,1.287,0.52
Kepler-415 b,Kepler-415,1.0,0.108,0.012,-0.009,4.176,,,694.0,,,69.834,3.937,-3.705,0.377,0.321,-0.275,0.67,,,0.01,0.14,-0.141,4362.0,0.643,372.0
Kepler-422 b,Kepler-422,1.0,1.15,0.11,-0.11,7.8914483,5e-07,-5.1e-07,1028.0,,,264.983,5.551,-5.443,0.43,0.13,-0.13,1.15,0.06,-0.06,0.23,0.09,-0.09,5972.0,1.24,0.38
Kepler-423 b,Kepler-423,1.0,1.192,0.052,-0.052,2.6843285,7e-08,-7e-08,1605.0,120.0,-120.0,649.148,29.111,-27.823,0.595,0.081,-0.081,0.85,0.04,-0.04,-0.1,0.05,-0.05,5560.0,0.95,0.459
Kepler-424 b,Kepler-424,1.0,0.89,0.08,-0.06,3.3118644,3.9e-07,-3.9e-07,1116.0,,,470.754,16.741,-16.162,1.03,0.13,-0.13,1.01,0.054,-0.054,0.44,0.14,-0.14,5460.0,0.94,1.94
Kepler-426 b,Kepler-426,1.0,1.09,0.03,-0.03,3.21751883,1.9e-07,-1.9e-07,1300.0,20.0,-20.0,410.723,18.58,-17.686,0.34,0.08,-0.08,0.91,0.06,-0.06,-0.21,0.08,-0.08,5725.0,0.92,0.26
Kepler-428 b,Kepler-428,1.0,1.08,0.03,-0.03,3.52563254,1.5e-07,-1.5e-07,1070.0,25.0,-25.0,195.088,10.853,-10.212,1.27,0.19,-0.19,0.87,0.05,-0.05,0.09,0.17,-0.17,5150.0,0.8,1.02
Kepler-43 b,Kepler-43,1.0,1.219,0.065,-0.064,3.0240949,6e-07,-6e-07,1620.0,40.0,-40.0,1138.115,46.311,-44.15,3.23,0.26,-0.26,1.32,0.09,-0.09,0.33,0.11,-0.11,6041.0,1.42,5.0
